# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.125
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 100
#         #   - l_bins: 80
#         #   - l_max (WL): 1500
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.06
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10T_AGN: 7.9
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.000644866570625114
#             #       - Omega_nu: 0.0013946076354349349
#             #       - Omega_cb: 0.3086053923645651
#             #       - Omega_c: 0.2595569494579907
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameter priors:
#         
#            #       - Omega_c: [0.1,0.8]
#            #       - Omega_b: [0.01,0.1]
#            #       - h: [0.4,1.0]
#            #       - log10As: [1.7,4.0]
#            #       - ns: [0.6,1.2]
#            #       - Mnu: [0.0,0.5]
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - log10T_AGN: [7.6,8.3]
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: [-5.0,5.0]
#            #       - eta2_IA: [-5.0,5.0]
#            #       - b1_IA: [0.0,2.0]
#         ##############################################################
#              Omega_c          Omega_b          h          log10As          ns          Mnu          log10T_AGN          a1_IA          eta1_IA          a2_IA          eta2_IA          b1_IA        log_w   log_l
7.830610433776198365e-01 9.943881201967544325e-02 9.012552398973406875e-01 3.570993106346085355e+00 6.662819701804929551e-01 3.104352479662271236e-01 8.203706114038885389e+00 1.122698349638665327e+00 -2.112686268379648791e+00 -3.437615964564950666e+00 -1.581912052665147783e+00 1.570842408314201633e+00 -1.166096193050789833e+08 -1.166096414848601371e+08
3.057140301823085826e-01 2.864653586635820814e-02 8.859634971643060020e-01 3.388632419951036034e+00 1.042747650227716871e+00 1.208354717391209032e-01 7.817527580592661174e+00 -1.911573727443149018e+00 -3.097076210564052801e+00 1.661916218598741501e+00 4.380933417156846588e+00 9.750454550162921397e-01 -5.750856340280060577e+10 -5.750856342498038483e+10
5.842593030400731191e-01 3.555089675900915264e-02 9.112375362772419107e-01 2.148509070308580515e+00 8.890730521778488216e-01 3.575464866572615752e-01 8.087397945427738932e+00 -4.567400977525014838e+00 4.972925743735315152e+00 2.776125568578500236e-01 4.161487372568723586e+00 6.650206394387114806e-01 -3.651001440204129395e+12 -3.651001440226309082e+12
2.715715548111414801e-01 6.707279548079693454e-02 9.315671897023866110e-01 3.459337526572775712e+00 8.819551855677103536e-01 2.289108746464834088e-01 8.057907948128232078e+00 1.891409167125760682e+00 -2.184420413928884752e+00 -4.551885151855419309e+00 2.564726161935989346e+00 7.158823287166362626e-01 -4.222217429069371819e+08 -4.222217650867183208e+08
7.815582123361382028e-01 7.887421378795986260e-02 6.811575978663721997e-01 3.535499588273668614e+00 1.130930923425788936e+00 3.292437263814819715e-01 8.034453040851081695e+00 2.159368979306379721e+00 6.230332774169777821e-01 4.385654773566409759e+00 -2.577328039853346020e+00 1.096063954219890890e+00 -5.108964451699756622e+09 -5.108964473879537582e+09
6.903159175410610304e-01 1.776380313636848063e-02 5.226869753182123990e-01 3.569560066515508723e+00 6.627396705983530367e-01 1.189601679989828464e-01 8.171243650225950006e+00 -5.569564998600267103e-01 1.938800955761275091e+00 -3.765361596029628277e+00 2.895863873300818625e+00 1.619046913691293055e+00 -3.245661450136621857e+10 -3.245661452354600143e+10
3.590549617233549373e-01 4.673473446990610708e-02 6.198303312508912644e-01 3.490137422781943055e+00 1.067700513718691013e+00 1.332138814359566936e-01 7.858277266917641057e+00 9.327796018940688327e-01 4.666844016739922552e+00 -3.622764635121989762e+00 -4.909306425558841447e+00 4.850324718757794695e-01 -2.674195635342655778e+08 -2.674195857140467465e+08
6.424256464208968342e-01 7.869978439412748938e-02 7.665342714493195153e-01 3.272560447676624129e+00 8.530811087354213118e-01 4.779149731739595897e-01 8.056932352031591194e+00 4.574429032378461102e+00 -3.795818093472407284e+00 1.714369769860322634e+00 -2.962336724689641265e+00 7.076084936475330878e-01 -6.701496204551958479e+06 -6.701518384333110414e+06
3.369708052307681667e-01 8.157504023207667876e-02 9.464073450346821570e-01 1.963506805946939604e+00 7.533102213492651744e-01 4.415882375505725266e-02 7.707742140840342593e+00 -4.316545983843813161e+00 4.372705086954937315e+00 -2.466843024914005866e+00 -3.344873504646606044e+00 8.712739501185571278e-01 -2.608113755490601540e+09 -2.608113777670382977e+09
3.681660939319482129e-01 9.034421633310923960e-02 7.881363112579065078e-01 3.211783768255147109e+00 1.085070403456019017e+00 3.344699819611633429e-01 7.886878433367066066e+00 2.018784461197063784e+00 7.433821565412408461e-01 9.619098075070455778e-01 4.538406916563387128e+00 9.440468853900079171e-01 -5.618400211130773544e+09 -5.618400233310554504e+09
