# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns        log_w   log_l
3.457378114685313308e-01 2.251370723746267538e-02 8.756140248637490631e-01 2.434756831340344263e+00 9.739913118325544961e-01 -7.963561383532415493e+04 -7.964247738738371118e+04
3.052100224773554027e-01 2.286220774471378961e-02 6.838142242757170308e-01 1.877593825313051745e+00 9.758276149170086455e-01 -6.327184888521024550e+04 -6.327871243726980174e+04
3.926775145256868327e-01 2.190386960607645234e-02 6.184060592260143263e-01 3.391851028980414462e+00 9.678106940082172871e-01 -1.567635460053724237e+05 -1.567704095574319945e+05
2.580250572251520658e-01 2.228243677603453793e-02 7.800797364858854666e-01 3.439910321993046249e+00 9.760485944549917026e-01 -5.540325801665319887e+04 -5.541012156871275511e+04
3.516486190900423026e-01 2.293204889492419726e-02 6.461522835989427227e-01 3.825225638092909719e+00 9.773466574146090213e-01 -4.961884856434725807e+05 -4.961953491955321515e+05
2.693267779443758725e-01 2.203565645226134365e-02 6.702771767436569439e-01 2.233401608112188352e+00 9.726424572368528310e-01 -6.548669201364286710e+04 -6.549355556570242334e+04
3.775068061595598934e-01 2.269565505719056339e-02 7.506429700723333820e-01 3.775758676287339632e+00 9.733677636745577955e-01 -2.921687701770406682e+06 -2.921694565322466195e+06
2.957420810451904525e-01 2.250760172592321251e-02 5.544152005992759591e-01 1.971935960098091911e+00 9.638798496007130456e-01 -8.612476046976739599e+04 -8.613162402182695223e+04
2.821746584526871882e-01 2.328526580136205948e-02 8.973443948982242624e-01 3.107302282292913276e+00 9.754778710241559514e-01 -2.479162605146578862e+05 -2.479231240667174570e+05
3.144371699571114620e-01 2.266246696938008232e-02 8.962387587090676622e-01 3.018680964262486999e+00 9.653832464939015034e-01 -4.374715676675101859e+05 -4.374784312195697566e+05
3.749320489698455550e-01 2.205027576095028655e-02 5.868555460902591392e-01 1.923556220012532014e+00 9.605020472353915650e-01 -6.263835518915976718e+04 -6.264521874121932342e+04
3.416531386255117209e-01 2.261733331552365570e-02 8.908768987167327014e-01 3.566141368825679336e+00 9.774557463233960464e-01 -3.430505374193495605e+06 -3.430512237745555118e+06
3.777512260113293774e-01 2.288762360336114854e-02 7.796308291612196184e-01 2.676175110274560787e+00 9.685525839226916123e-01 -1.140604549755197368e+05 -1.140673185275792930e+05
3.810988488292688103e-01 2.232567237376221689e-02 5.201009434517653851e-01 1.709895030954994288e+00 9.663918562131134093e-01 -8.217664765184452699e+04 -8.218351120390408323e+04
3.827600172535831069e-01 2.205997493471115872e-02 7.314949181869107031e-01 3.687282004178473738e+00 9.692655024947606224e-01 -2.099638017520120367e+06 -2.099644881072179880e+06
2.985086524702919020e-01 2.245466522946538979e-02 5.468650028577656252e-01 2.265848441847555961e+00 9.742185998207614217e-01 -8.175083608006991562e+04 -8.175769963212947187e+04
2.603572280124297200e-01 2.245958155156210778e-02 5.856612144417697730e-01 1.747178392226060195e+00 9.780642186950074812e-01 -8.981721011089230888e+04 -8.982407366295186512e+04
