# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.3
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [-1.0,5.0]
#            #       - etaIA: [-5.0,5.0]
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          aIA          etaIA        log_w   log_l
3.514187938228973129e-01 2.228481142301333776e-02 7.107730527026576706e-01 3.722408291902084443e+00 9.745741810427982488e-01 -9.897247523760732690e-02 5.921784342334612816e-01 -6.515225538864177652e+05 -6.515362876892662607e+05
3.832291119612878383e-01 2.279920926092934147e-02 6.028371697212931979e-01 2.087147476868409068e+00 9.690761181399546453e-01 1.848032388058986175e+00 2.955660785097843579e+00 -8.086984456297504948e+04 -8.088357836582351592e+04
3.926164799248791359e-01 2.236681704241449617e-02 7.428791111197053931e-01 3.799617813758195517e+00 9.719302384735888367e-01 2.223088634146519027e+00 1.367520280503784491e+00 -3.091314130186623428e+06 -3.091327863989471924e+06
3.773035044179735564e-01 2.284154588718482343e-02 8.685273451666554179e-01 2.567521584654704370e+00 9.652290963075437213e-01 4.298210533623221252e+00 2.089125142098708920e-01 -4.918821445636496646e+05 -4.918958783664981602e+05
2.824860106513238378e-01 2.237193264455418842e-02 7.619813130257773182e-01 3.493022817356242982e+00 9.670738429862050234e-01 3.589076804122361963e+00 -2.263588709297965629e+00 -9.848957598372006032e+04 -9.850330978656852676e+04
3.713366739861365673e-01 2.270003715979377126e-02 7.811196781669205169e-01 3.742507063623288666e+00 9.729111988694939539e-01 2.895916890103961361e+00 4.101077486018345652e+00 -2.288386075405218124e+09 -2.288386089139020920e+09
3.847087707124998701e-01 2.218284998300848118e-02 7.474837540542844661e-01 2.271927430766083944e+00 9.674732319077880005e-01 2.453844203467340446e+00 3.994213795004373679e+00 -3.532931470055354387e+07 -3.532932843435639143e+07
3.521022160725816863e-01 2.253899114018486499e-02 6.318636245648666661e-01 2.193992381236160139e+00 9.628546021118755682e-01 2.582197503760478519e+00 3.785437486826753073e+00 -3.030747710455315653e+06 -3.030761444258164149e+06
3.327974185418025588e-01 2.240580963472315473e-02 8.047339496894161393e-01 2.582136147981269225e+00 9.674761668685544214e-01 1.959351964755085440e+00 3.715972655503092525e+00 -5.899786510664693080e+06 -5.899800244467541575e+06
2.745941890762118032e-01 2.247282982758285266e-02 8.040271762534900724e-01 3.488105268230546674e+00 9.672549727116066531e-01 5.042029963517515867e-01 4.818651477182854137e+00 -2.797439875580138061e+06 -2.797453609382986557e+06
3.769501804132391332e-01 2.250418322805210550e-02 5.456992813945238385e-01 1.848710304530239323e+00 9.664200712881643174e-01 2.743582315761996959e+00 2.192134384971177852e+00 -5.035166360884326423e+04 -5.036539741169173794e+04
3.329449923945895229e-01 2.303205837985654314e-02 7.733581312949826536e-01 1.925889660564495953e+00 9.740088599541052439e-01 4.583573217659377086e+00 2.936717288535550807e+00 -2.634867246650110465e+06 -2.634880980452958960e+06
3.654161454249609253e-01 2.277314931744474705e-02 6.804966511235953641e-01 3.198149470919688486e+00 9.754427108992828055e-01 1.801211756421828625e+00 2.322330713091997012e+00 -3.682056186006310745e+05 -3.682193524034795701e+05
2.520178284456806583e-01 2.311888605666808164e-02 7.479476645733534879e-01 3.948257636933980130e+00 9.655023885015620033e-01 3.014469114809085859e+00 1.699000210692862112e+00 -5.578494977815304883e+05 -5.578632315843789838e+05
3.903625833568892256e-01 2.283790358795836570e-02 5.073501254943275640e-01 3.984012909190278506e+00 9.645052370160827060e-01 -2.349113390810537716e-01 -4.644812491487011030e+00 -4.027442986977932742e+04 -4.028816367262780113e+04
2.822700162343209085e-01 2.231414929423242155e-02 7.614965936668824931e-01 2.562881206677887658e+00 9.645406746520636121e-01 2.769303240295234225e+00 4.262902508411007929e+00 -3.097185793013198301e+07 -3.097187166393483058e+07
3.025162215231264051e-01 2.248794549895700989e-02 6.264002086024600402e-01 3.499872481358232257e+00 9.716327679541486573e-01 1.686686591436587612e+00 2.356602212329202750e+00 -7.814969358054884651e+04 -7.816342738339731295e+04
3.956905172377654933e-01 2.275200512323248200e-02 7.885036584740461318e-01 3.760581817525681991e+00 9.719076107093381767e-01 4.997771913841042135e+00 4.348547796604503191e+00 -8.592143247142974854e+10 -8.592143248516354370e+10
3.493977287216499805e-01 2.208047515130952959e-02 5.893630243861901485e-01 2.888845998037629759e+00 9.709989490889056052e-01 4.991944336610379729e+00 2.462960955513088024e+00 -2.220371675888598431e+06 -2.220385409691446926e+06
3.342195289346931997e-01 2.364273329867567011e-02 6.713922645391908750e-01 2.014751597274773154e+00 9.663962021260873447e-01 4.700611546590756973e+00 9.070796442916417845e-01 -5.215044932669746049e+04 -5.216418312954593421e+04
3.892554427534820616e-01 2.310169538109696497e-02 7.646506384159852399e-01 2.941279386725713874e+00 9.744275218513495096e-01 5.390739807311308862e-01 2.017824063604313878e+00 -1.802697888090737688e+05 -1.802835226119222352e+05
3.007339947512884804e-01 2.307466971610374826e-02 6.873833353642423427e-01 2.600984247831391816e+00 9.691858608771033445e-01 1.985132252383338347e+00 2.925154894034811548e+00 -1.082863849837339658e+05 -1.083001187865824322e+05
3.105961778410652463e-01 2.291445891010823396e-02 8.296398741389426901e-01 2.068666052859120530e+00 9.779162388552797847e-01 3.418556871104847517e+00 1.911631220117068430e+00 -1.176732059642043459e+05 -1.176869397670528124e+05
3.599374914435786166e-01 2.301653189008993211e-02 7.530560312499767761e-01 3.639198405989794605e+00 9.691910900456394140e-01 1.912272866542578775e+00 3.170534472911024082e-01 -8.585826719030988170e+05 -8.585964057059473125e+05
2.833004221811513679e-01 2.288222994579909922e-02 7.523467766613707308e-01 3.753540748478280342e+00 9.725614517390380742e-01 7.446797870175991818e-02 3.423147102410290188e+00 -2.033299168954321358e+05 -2.033436506982806022e+05
3.730879560281697427e-01 2.349566578806657272e-02 7.504506978966883901e-01 2.977934260185111981e+00 9.720939228555280920e-01 4.853614930794449833e+00 3.752122158227185977e+00 -8.033654233321427107e+08 -8.033654370659456253e+08
3.584436295923053017e-01 2.273304613745093933e-02 7.517767115080657980e-01 2.541377091101164609e+00 9.736945924262883079e-01 2.179673778234937576e+00 3.174423221887154867e+00 -1.716323078341151820e+06 -1.716336812144000316e+06
3.838269480264512312e-01 2.314147777113413629e-02 5.739631591115903486e-01 2.602915876147436691e+00 9.725178647109634644e-01 2.952213465266163794e+00 4.114496767996207893e+00 -4.078625638722312450e+07 -4.078627012102597207e+07
3.805976176360604812e-01 2.225424274044899425e-02 8.070670668277870607e-01 3.558306107070010604e+00 9.663791347788138753e-01 -3.302750187563834317e-01 -2.598779683979114630e+00 -1.902761693087088410e+06 -1.902775426889936905e+06
2.963527879519718966e-01 2.318328479383559293e-02 5.947533877366957267e-01 3.662948000257573611e+00 9.708267658253989518e-01 4.314464952814707210e+00 4.628530258469890413e+00 -1.998203891142225266e+09 -1.998203904876028061e+09
2.580706606771535072e-01 2.270819656977480366e-02 7.577091211665603065e-01 3.875523800714637979e+00 9.692317868619229060e-01 -3.072078121997154909e-01 -4.699347226737993211e+00 -1.594623217895338603e+05 -1.594760555923823267e+05
2.700502291661247556e-01 2.331571988228419226e-02 6.820937137068517897e-01 3.597181615673241240e+00 9.710902439033983757e-01 2.200253430185152403e+00 2.227239949191775814e+00 -1.474619259529784904e+05 -1.474756597558269568e+05
2.994060958452569032e-01 2.314806322985995049e-02 7.393871315654658716e-01 2.340908256047387503e+00 9.610916261282865802e-01 2.603408764841106837e+00 2.748609696527443802e+00 -1.604208129627619637e+05 -1.604345467656104302e+05
3.946998766195383146e-01 2.240203128477479683e-02 8.603734095419093286e-01 3.053185371451574426e+00 9.678543217650739106e-01 -9.425384755039565299e-01 -3.055380198236713696e+00 -1.064695772914884146e+06 -1.064709506717732642e+06
3.611572176691255631e-01 2.299686284756012611e-02 8.375448929966786693e-01 3.233504559684804214e+00 9.744740918585202971e-01 4.291752163469624293e+00 1.105220707114230372e+00 -3.377267083679459523e+06 -3.377280817482308019e+06
3.685710806695097763e-01 2.310329495488755436e-02 6.861001286989663051e-01 3.087977803293075141e+00 9.742006419195357037e-01 5.739971963051722081e-01 3.078103912449005719e+00 -6.607348673850345949e+04 -6.608722054135192593e+04
3.997888901160085995e-01 2.307739797021897063e-02 8.082217354832290646e-01 2.770306778508705214e+00 9.703087119214816036e-01 3.880429102852594347e+00 -3.418362637431772377e+00 -2.621508852920873906e+05 -2.621646190949358861e+05
3.279575419454612839e-01 2.293829820669096575e-02 6.074888180234280233e-01 2.412706838578020374e+00 9.624602598953736488e-01 3.156777068473840764e+00 3.924615813509372941e+00 -7.847483307198846713e+06 -7.847497041001695208e+06
3.996011307411625468e-01 2.269885951671743105e-02 6.554015879597722138e-01 3.416383300509520105e+00 9.688049853115834331e-01 9.221303190510299341e-01 -5.110097226983745244e-01 -2.301877667274648848e+05 -2.302015005303133512e+05
3.841717364093347742e-01 2.277563563085182805e-02 8.354303288112641113e-01 3.859686256925232151e+00 9.689146209901009499e-01 -8.634189294919443203e-01 8.731481700993448669e-02 -5.884499174819454551e+06 -5.884512908622303046e+06
3.641880615412329547e-01 2.195510809763059901e-02 5.228949972288787773e-01 3.857274427605061007e+00 9.652431193564963152e-01 2.581829842896473881e+00 7.447264394773069895e-01 -7.232154359990499506e+04 -7.233527740275346150e+04
3.992931392103875599e-01 2.267715372114245675e-02 8.656479496237137194e-01 2.417938700681096620e+00 9.775574756220053452e-01 2.578190113961853491e-01 2.824380767055389541e+00 -1.371506082446777436e+05 -1.371643420475262101e+05
2.679750643347782457e-01 2.306161566019150622e-02 8.371660175943129722e-01 3.590636847961312661e+00 9.669525713639559594e-01 4.198938827365408244e+00 1.064458118797983133e+00 -9.882936992847595830e+05 -9.883074330876080785e+05
3.308070459217717363e-01 2.324522568499526320e-02 8.704003693729407409e-01 2.736963545900762185e+00 9.728475624981350878e-01 4.505618914187437873e+00 3.480939513378945804e+00 -1.486753270249145627e+08 -1.486753407587174177e+08
3.306240690777907387e-01 2.272434630579240819e-02 5.925184831976787470e-01 3.101354689212334481e+00 9.778528156067012311e-01 4.580152186196121633e+00 4.595768039530732096e+00 -1.634028356901908875e+09 -1.634028370635711670e+09
3.073417395425399601e-01 2.317500693327450081e-02 8.778663720382183788e-01 3.495569887013326049e+00 9.747183218046435726e-01 4.082735207659886623e-01 4.814272419186460539e+00 -5.668113718361259438e+06 -5.668127452164107934e+06
3.680799217699801673e-01 2.320597564769568549e-02 5.147514466375424647e-01 3.924813087826790614e+00 9.697479772653501140e-01 4.699492893886293210e+00 2.001434657506494297e+00 -3.394590268546911888e+06 -3.394604002349760383e+06
3.055286163336965455e-01 2.283551156859782785e-02 8.331114578424654304e-01 3.073272473539827132e+00 9.665215461696894383e-01 2.887131822570196071e+00 -2.698914514361943073e+00 -1.088211468333704543e+05 -1.088348806362189207e+05
2.688132257645113321e-01 2.286747741391816774e-02 5.062690110402352506e-01 1.827021213924055365e+00 9.703648629811527648e-01 1.178873212721558428e+00 -9.555263699724036996e-02 -5.350629691389714571e+04 -5.352003071674561943e+04
3.312419008714531654e-01 2.288311554763792013e-02 5.015442222725884358e-01 1.903715743679522676e+00 9.620211034826414709e-01 -8.248286760304688325e-01 -2.891356830686893087e+00 -5.056242700774843252e+04 -5.057616081059690623e+04
3.085735343768646333e-01 2.256429823425126421e-02 8.531529281749952176e-01 1.824379575298695544e+00 9.747385924543657820e-01 4.355393728951429289e+00 4.537289339713623804e+00 -4.465474963585341573e+08 -4.465475100923370123e+08
3.223511978393301391e-01 2.240128645699974996e-02 6.452614755816500347e-01 2.746115589156429060e+00 9.666396345224747000e-01 2.137961745022829874e+00 3.258221843447010713e+00 -5.179547498205211014e+05 -5.179684836233695969e+05
