# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.3
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns        log_w   log_l
3.065976675279455943e-01 2.305853514420332789e-02 8.145956403189607009e-01 3.732370493871947303e+00 9.629001983753726623e-01 -7.601896419769586064e+05 -7.601956472199398559e+05
3.157408342196493800e-01 2.328642089151107888e-02 5.034688650720855474e-01 2.578182804586934385e+00 9.607245650578114526e-01 -4.656054406096527964e+04 -4.656654930394658004e+04
3.445654028633956534e-01 2.234765462749164350e-02 8.435422294798919918e-01 3.537200829911319122e+00 9.654794899749725712e-01 -1.277828485539829358e+06 -1.277834490782810608e+06
3.402554505229001824e-01 2.263481432721851927e-02 5.784824872250819983e-01 2.118676553153893583e+00 9.714983497881477525e-01 -3.928193191922241385e+04 -3.928793716220371425e+04
3.214547589300983388e-01 2.220991397950602617e-02 6.927966803234237858e-01 1.872026143728296566e+00 9.719344320804735871e-01 -3.103966629970806753e+04 -3.104567154268936793e+04
2.564985465017850519e-01 2.264505144275432563e-02 8.842285679694148470e-01 3.136556185931526741e+00 9.746988582056079764e-01 -5.130457556018971809e+04 -5.131058080317101849e+04
2.828029873327123078e-01 2.219464371053172375e-02 8.995952070135879719e-01 3.293369072425675448e+00 9.744978482556951871e-01 -3.056039413854902377e+05 -3.056099466284715454e+05
3.064549031856496075e-01 2.265944091344229347e-02 8.476891576867076061e-01 2.766446405649961804e+00 9.654297606519888220e-01 -3.197613278432428342e+04 -3.198213802730558382e+04
2.737668753327808790e-01 2.219330048179615766e-02 5.342535179188251382e-01 2.329190643199043009e+00 9.713871085059826438e-01 -4.991765083293819043e+04 -4.992365607591949083e+04
2.732475131520156197e-01 2.339238854992832517e-02 5.496612426882827585e-01 2.987242994349428749e+00 9.673185714273759839e-01 -4.082239637680636224e+04 -4.082840161978766264e+04
3.114183912035219937e-01 2.187189809368974072e-02 7.119840925254901087e-01 3.658091580204359872e+00 9.712919582515994188e-01 -1.865485346592671995e+05 -1.865545399022485071e+05
3.023190543115898410e-01 2.357404751218889968e-02 8.393962361356088753e-01 3.024962362243503122e+00 9.696398647170081375e-01 -7.983411152249197767e+04 -7.984011676547328534e+04
3.105738644879926791e-01 2.360874374951101376e-02 5.333906867332027790e-01 1.982494692646797230e+00 9.759361164980216996e-01 -4.988971995525216334e+04 -4.989572519823346374e+04
3.687981003817325520e-01 2.256750668774110125e-02 8.670444157410954755e-01 3.232296422391212065e+00 9.713901655475459807e-01 -1.059318584984440124e+06 -1.059324590227421373e+06
3.672725354565408162e-01 2.204014964359244863e-02 8.131143317061042541e-01 3.839609432174349024e+00 9.685216261253992709e-01 -3.018897807434916031e+06 -3.018903812677897513e+06
3.466800649114714084e-01 2.228847959074732599e-02 7.310580095903251863e-01 3.535382450656063380e+00 9.698006368690518242e-01 -3.884126513394545764e+05 -3.884186565824358840e+05
3.403121758264827657e-01 2.263884872798716669e-02 8.705878532084331267e-01 2.526589716133901486e+00 9.696144236012712581e-01 -5.265347251199249149e+04 -5.265947775497379189e+04
3.129081490715964198e-01 2.294053529538508593e-02 8.029315970508459355e-01 2.899940965483720934e+00 9.684379655107129281e-01 -3.342425039468390605e+04 -3.343025563766520645e+04
3.827507037281320246e-01 2.298906801418567833e-02 8.785305794264673951e-01 3.144946298569277765e+00 9.688907823987293888e-01 -1.123889075570712565e+06 -1.123895080813693814e+06
2.628252075425345780e-01 2.289389516859104481e-02 5.743062953911921564e-01 2.347891620334288554e+00 9.679601208598833662e-01 -4.832981508514038433e+04 -4.833582032812168472e+04
3.524255396951598285e-01 2.315844789601187101e-02 8.384482278962406276e-01 3.274149522187819628e+00 9.685047170419681661e-01 -6.655877511379580246e+05 -6.655937563809392741e+05
2.681699552327112546e-01 2.194789517846603907e-02 6.875532263699404290e-01 3.921741050802842743e+00 9.690287931066529081e-01 -6.776609534148761304e+04 -6.777210058446892072e+04
