# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_bins: 50
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: 0.02268
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: 0.97
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: 1.0
#            #       - eta2_IA: 0.0
#            #       - b1_IA: 1.0
#         ##############################################################
#              Omega_m          h          log10As          a1_IA          eta1_IA        log_w   log_l
3.084052908445713004e-01 7.347506684151304812e-01 2.810956736781834220e+00 1.457633383075775946e+00 3.260991423010754175e+00 -3.549551200384452823e+05 -3.553124962854895275e+05
2.800925117153789112e-01 8.730036998894734612e-01 3.323342784413573003e+00 2.615872518037731354e+00 -3.713595802479263686e+00 -3.994157639684223104e+05 -3.997731402154665557e+05
3.051804927127945155e-01 8.379859311368318409e-01 3.838728805482939599e+00 2.873018720170038343e+00 -3.707761101341572108e+00 -2.288911349035347812e+06 -2.289268725282391999e+06
2.848938917922309022e-01 8.355742285067507824e-01 3.717058091374345175e+00 3.946088111005508381e+00 4.193873936337759289e+00 -3.540059711704485416e+09 -3.540060069080732346e+09
3.666819305906112714e-01 7.112101292363175453e-01 3.703748339357805897e+00 -3.416906537500373986e+00 -3.196241344270023266e+00 -2.201499642781747971e+06 -2.201857019028792158e+06
2.754761835902838074e-01 6.510118704152780822e-01 2.060626695620490167e+00 2.588073516628975668e+00 4.750729045466886902e+00 -2.475514851670460403e+07 -2.475550589295164868e+07
3.221264749529323956e-01 8.844067923176081036e-01 2.917249062145745420e+00 -2.899828523131065872e+00 4.490215450674144293e+00 -2.031799674683442354e+09 -2.031800032059689522e+09
3.943976355481231266e-01 5.765876504350536669e-01 3.717216222685802762e+00 2.713077336084354307e+00 2.453360819734856868e+00 -4.639424352134048939e+06 -4.639781728381092660e+06
3.522304923074667249e-01 6.409950090435756476e-01 3.657942613858133463e+00 -3.828727654610208919e+00 -4.089884462799631137e-01 -1.174923591503423639e+06 -1.175280967750468059e+06
3.294653322353599534e-01 7.859572738958702232e-01 2.951383524488106147e+00 -4.899345433686768558e+00 4.999306942209216231e-01 -1.538971353228572523e+06 -1.539328729475616943e+06
3.881246707440832999e-01 6.397817027935989165e-01 3.213383136342538915e+00 -3.710684228074894175e+00 2.720540239880920197e+00 -1.579375537078182399e+07 -1.579411274702886865e+07
3.358731574869769365e-01 7.570707804400012009e-01 3.351819686251048314e+00 1.973187996666282196e+00 -2.385674712558537358e+00 -4.069924655769363162e+05 -4.073498418239805615e+05
2.728261376143529260e-01 8.373964534879718702e-01 3.264640536529956005e+00 -2.596819664562532992e-01 -4.006223703050495466e+00 -1.830086296061584144e+05 -1.833660058532026596e+05
3.194331782546583343e-01 6.176701371200761237e-01 3.670982407653772928e+00 4.714036229213103724e+00 -6.575066262832862662e-01 -1.313134735712868278e+05 -1.316708498183310730e+05
2.540491591510187774e-01 8.614589045339945406e-01 2.788991241086622441e+00 -4.993325803127703466e+00 -1.905536680059878307e+00 -8.250412104741885560e+04 -8.286149729446310084e+04
3.980516804118420238e-01 7.230991481810301602e-01 3.968418742982821712e+00 -3.742524507819013913e+00 3.573151897587386827e+00 -2.774823530187363625e+09 -2.774823887563610554e+09
2.975275707580534723e-01 8.734716811173935946e-01 2.628271580307457445e+00 -3.427835847943351055e+00 -3.788445244176780413e+00 -9.371835732648326666e+04 -9.407573357352751191e+04
3.031499006765854265e-01 8.716009941907638670e-01 3.352163928694722905e+00 -1.973914620939646092e+00 2.784186281503831850e+00 -6.563622875212836079e+06 -6.563980251459879801e+06
2.773669278366095448e-01 8.106082201715552049e-01 2.630399372120540313e+00 -4.119819819395013738e+00 4.802079682817256057e+00 -2.850303764197415829e+09 -2.850304121573662758e+09
3.814093754259207936e-01 7.473119718204273010e-01 3.003521413636060178e+00 -2.228911327945085397e+00 2.690063350478313353e-01 -9.176527560211874079e+05 -9.180101322682315949e+05
3.696444480154244538e-01 7.629488030037177015e-01 3.829665984154805969e+00 4.804642547336563041e+00 3.285213072744671337e+00 -1.711195649394382000e+09 -1.711196006770629168e+09
3.503241889513783458e-01 7.335946293855243328e-01 3.448457093605551194e+00 -3.252379495262702758e+00 -1.825782356362187997e+00 -1.246998739336596103e+06 -1.247356115583640523e+06
2.964876105178008703e-01 8.568861908373734959e-01 3.192401554165181121e+00 -1.990717738778079671e+00 -3.078762421980878461e+00 -4.838869037517933757e+05 -4.842442799988376210e+05
3.263568451551321914e-01 6.255551203692413242e-01 3.957776789308062426e+00 3.861898636207003577e+00 -8.789733681875340210e-01 -3.382127082965964219e+05 -3.385700845436406671e+05
3.611415568420698330e-01 7.021759807274545739e-01 3.568575625819421226e+00 -4.130001608364822552e+00 -2.831328111546893567e-01 -2.962435064157676883e+06 -2.962792440404721070e+06
3.835301619150648933e-01 8.897702568311194327e-01 3.529056503910428244e+00 2.075742551125911106e+00 4.117840661194389185e+00 -1.712291446113841057e+09 -1.712291803490088224e+09
