# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC (3x2pt)
#         # Sky Fraction (fsky): 0.4
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 10
#         #   - l_bin: 100
#         #   - l_max (WL): 3000
#         #   - l_max (GC, XC): 1000
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 1.72
#             #       - etaIA: -0.9
#             #       - b1_1: 0.87074
#             #       - b1_2: 1.13866
#             #       - b1_3: 1.29472
#             #       - b1_4: 1.47662
#             #       - b1_5: 1.98016
#             #       - b2_1: 1.74148
#             #       - b2_2: 2.27732
#             #       - b2_3: 2.58944
#             #       - b2_4: 2.95324
#             #       - b2_5: 3.96032
#             #       - b1L_1: -0.12926
#             #       - b1L_2: 0.13866
#             #       - b1L_3: 0.29472
#             #       - b1L_4: 0.47662
#             #       - b1L_5: 0.98016
#             #       - b2L_1: 0.28213962
#             #       - b2L_2: 0.23224054
#             #       - b2L_3: 0.2329498
#             #       - b2L_4: 0.26144022
#             #       - b2L_5: 0.49562399
#             #       - bs2L_1: 0.0
#             #       - bs2L_2: 0.0
#             #       - bs2L_3: 0.0
#             #       - bs2L_4: 0.0
#             #       - bs2L_5: 0.0
#             #       - blaplL_1: 0.0
#             #       - blaplL_2: 0.0
#             #       - blaplL_3: 0.0
#             #       - blaplL_4: 0.0
#             #       - blaplL_5: 0.0
#             #       - Omega_b: 0.04904844290657438
#             #       - Omega_nu: 0.0
#             #       - fb: 0.1582207835695948
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.15,0.6]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [0.0,12.1]
#            #       - etaIA: [-7.0,6.17]
#            #       - b1_1: [0.0,4.0]
#            #       - b1_2: [0.0,4.0]
#            #       - b1_3: [0.0,4.0]
#            #       - b1_4: [0.0,4.0]
#            #       - b1_5: [0.0,4.0]
#         ##############################################################
#           Omega_m   Ombh2   h   log10As   ns   aIA   etaIA   b1_1   b1_2   b1_3   b1_4   b1_5   log_w   log_l
4.314687350311496861e-01 2.255055937983061268e-02 5.733836223036975488e-01 2.128760681052610515e+00 9.718143555039061576e-01 6.339222120613369427e+00 4.040218193780143352e+00 3.260648441344743631e+00 2.257037808412600821e+00 1.105964752038484544e+00 3.359438618057912773e+00 2.952068964777658344e+00 -1.645130770485667884e+07 -2.645916578559195995e+07
1.880935701318091069e-01 2.332438083856805747e-02 5.381631640775699221e-01 2.839226247616431387e+00 9.680125783968520636e-01 8.848344919077320014e+00 5.253809741105529341e+00 1.158266022880696244e+00 1.144409019968251062e+00 2.185194130327491102e+00 2.388282313059200135e-01 1.846805842812080378e-01 -1.807124518797866255e+07 -2.807910326871394366e+07
3.266974588176881911e-01 2.243708496988091466e-02 7.486461696967320334e-01 2.825052104045897572e+00 9.673410535418756062e-01 3.651286530540962971e+00 3.920507659570315440e+00 3.688636294428253137e+00 4.913215549671892113e-01 2.561039499235173711e+00 8.693794908801044663e-01 2.569442594340302755e+00 -1.372962621589858830e+07 -2.373748429663386941e+07
2.557397701022741665e-01 2.267656040131961134e-02 5.328727790738863046e-01 3.912095704785646610e+00 9.739771049016123783e-01 6.606995959570598487e+00 5.450446755318639092e+00 6.804467355483385660e-01 1.074071056247754008e-01 2.923374664856908556e+00 1.878861923197396866e+00 2.774529753647087205e+00 -2.752191481403050944e+07 -3.752977289476578683e+07
1.775889001208678653e-01 2.296796122353333275e-02 5.335990911795809311e-01 2.683924647471183533e+00 9.692321823144147697e-01 3.456360813487729722e+00 -6.170674447870763579e+00 3.139376898403799299e+00 1.278143095837354082e-01 3.562383785964541971e+00 1.198662183312201979e+00 9.259325869398438158e-01 -inf -inf
3.481337952029817107e-01 2.248514888093888775e-02 7.124097946333003417e-01 3.894657071303578633e+00 9.687021990817133998e-01 2.647663428771528160e+00 2.960715391167608956e+00 2.309053576624440662e+00 3.922476920052855309e+00 3.319499073831773117e+00 3.101576870449544998e+00 1.278008079721214330e+00 -7.050498767463810742e+06 -1.705835684819909185e+07
2.068636041720826602e-01 2.268011489469406311e-02 7.834579423908232254e-01 2.722805959466963355e+00 9.671287372996880682e-01 8.001963038097496650e+00 5.698187001237931426e+00 5.191874018259796664e-01 3.494960941863793469e+00 3.179361181246402879e+00 3.702524637613046732e+00 2.712869930782600747e+00 -2.570986057745585963e+07 -3.571771865819113702e+07
1.692325331640870123e-01 2.313337490875399041e-02 8.619238645432091284e-01 2.248878587266199158e+00 9.702784453637888218e-01 1.114198135859824745e+01 3.407236934465437628e+00 2.430916564408287961e+00 1.943437980687824584e+00 2.689825135275635937e+00 2.395271567590238071e+00 1.759601669348994868e+00 -5.550359277131335810e+06 -1.555821735786661692e+07
5.781507659386578846e-01 2.180649870818546915e-02 8.973833211051729375e-01 3.346894747135179760e+00 9.705338228146188628e-01 7.974643976031949855e+00 -1.051187565658250556e+00 2.046929191666550185e+00 2.289701173090028963e+00 1.951437878086030420e+00 2.181781984673495156e+00 2.891567698325863134e-01 -5.814379053735453635e+06 -1.582223713447073475e+07
5.139444228133075443e-01 2.316352301874212774e-02 7.417540389821251079e-01 2.986418339581218717e+00 9.678682540924423705e-01 3.872799390739386283e+00 5.101990760292057558e+00 3.133995517862082636e-01 3.740180520524469809e+00 4.951951923108435238e-01 3.690678351117409051e+00 1.162020904616422268e+00 -4.131616308606009185e+07 -5.132402116679537296e+07
5.829116376514970055e-01 2.207316777793706317e-02 7.529572404510573858e-01 1.945473382821058861e+00 9.616314307339636214e-01 1.382404110738915337e+00 3.178713296564183111e+00 2.114190822384927948e+00 4.777217170486682818e-01 1.333598846993477416e+00 4.880937785390195849e-01 2.253800821005017774e+00 -6.730525365633010864e+06 -1.673838344636829197e+07
4.225385370689282993e-01 2.224978146283357675e-02 6.834693643597963275e-01 2.179296735824827635e+00 9.706326609015709650e-01 2.572865174999958260e+00 -3.618238093355170548e-01 1.623748570163197513e+00 8.684253544153586191e-02 1.332094681776224920e+00 2.669394114911294746e+00 5.694479880747218559e-01 -5.398312794815665111e+06 -1.540617087555094622e+07
3.952588528799604872e-01 2.275481066413902187e-02 6.623118943745928133e-01 3.112954817129827578e+00 9.665799516247358669e-01 5.504711135926871002e+00 5.828037812920834781e+00 6.103869373733576964e-01 2.058079907494082317e+00 2.479933390944351501e+00 3.849670227527629329e+00 2.366379252033208314e+00 -4.261158039680422843e+07 -5.261943847753950953e+07
4.444671232495904789e-01 2.272608449228257638e-02 6.023938643673489857e-01 3.530902877171360199e+00 9.659373263643760144e-01 8.443391408886345317e+00 4.035314994424911816e+00 5.583015658970635897e-02 1.064013549915691748e+00 1.706307564772514773e+00 1.665985190861801080e+00 3.469833085537127992e+00 -3.826188603641735017e+07 -4.826974411715262383e+07
1.530354447244252902e-01 2.305288098429533056e-02 5.017595974009548820e-01 3.893044779138220335e+00 9.707552981543418058e-01 4.513888183905402585e+00 -3.672001757477517003e+00 3.242352258359136652e+00 3.953079895306118807e+00 1.278870402357883851e+00 1.634386972202252597e+00 3.387116774818056175e+00 -inf -inf
2.937991323279768308e-01 2.311563208045994827e-02 8.834309997729723474e-01 3.565748712962687250e+00 9.779661532630640197e-01 6.853849081754894712e+00 3.185000266792309631e+00 3.160621341329163947e+00 4.096472161267517009e-01 2.085409936124209995e+00 3.770823892875799110e+00 2.934099387017165661e+00 -1.980414622010305524e+07 -2.981200430083833635e+07
4.917372211062083220e-01 2.283849489330949667e-02 5.669185563225042079e-01 2.453475419149735881e+00 9.737724286999526191e-01 8.317133477999842484e+00 1.552790924341669765e+00 3.806061662433015691e-01 2.220390120911300169e+00 3.635224145402364826e-01 3.068572457408331289e+00 3.323083985986437838e+00 -7.675515013420268893e+06 -1.768337309415555000e+07
1.998417192874929471e-01 2.302017193736060480e-02 8.910787249185783132e-01 2.181255558832546626e+00 9.669372251025845078e-01 2.163129468342209094e+00 5.219015733443578497e+00 3.856136622024303851e+00 8.462091591700726667e-01 1.303455177796011277e-01 1.448587395827947155e+00 2.503393851514516211e+00 -1.128299451701651886e+07 -2.129085259775179997e+07
4.620598887709501668e-01 2.263200440948615055e-02 8.669953030203620958e-01 1.936710116172409624e+00 9.728179036460455897e-01 3.155709273082266009e+00 5.595390262443549645e+00 1.853702049481347647e+00 3.391259356564697569e+00 1.343800140393803577e+00 1.321932672835054223e+00 2.765651242835200918e+00 -3.456192326418681443e+07 -4.456978134492209554e+07
3.593358285821984799e-01 2.264332939848089435e-02 5.670502412913163148e-01 2.835699321484156599e+00 9.713918328795246859e-01 1.104008894365850324e+01 6.102425677357993905e+00 1.404921871596677363e+00 2.288560903784345957e+00 3.994797360428528066e+00 6.422113309245607304e-01 1.426914119114493840e+00 -4.755518809536837041e+07 -5.756304617610365152e+07
5.355332776313719290e-01 2.272907900335610631e-02 8.682570858218191523e-01 3.207335942036633636e+00 9.636607128005516554e-01 1.163827761549898909e+01 2.117874500309953945e+00 7.844125617772093051e-01 3.616037869705439611e+00 6.698772641033841069e-01 2.554188701180471810e+00 3.076780017204590045e-01 -3.352109470390609279e+07 -4.352895278464137018e+07
